paramid,PIndPriCnt,covmode,covtyp,kmnsinit,nK,selscores,ensscores,ensweights
0,5,individual,full,20,15,-29011.08364276411,-29011.08364276411,3.9653452176648576e-131
1,5,individual,full,20,14,-29016.67555977631,-29016.67555977631,1.4782309833410824e-133
2,5,individual,full,20,13,-29016.188214894384,-29016.188214894384,2.4065422669270032e-133
3,5,individual,full,20,12,-28979.26420295075,-28979.26420295075,2.6138949553421644e-117
4,5,individual,full,20,11,-28928.551100522167,-28928.551100522167,2.7650862049947723e-95
5,5,individual,full,20,10,-28906.628998643395,-28906.628998643395,9.169730105735956e-86
6,5,individual,full,20,9,-28847.84318461837,-28847.84318461837,3.109647764291752e-60
7,5,individual,full,20,8,-28821.784466672525,-28821.784466672525,6.4545892124746434e-49
8,5,individual,full,20,7,-28792.72486890837,-28792.72486890837,2.693342369436717e-36
9,5,individual,full,20,6,-28737.038300222248,-28737.038300222248,4.117760275586973e-12
10,5,individual,full,20,5,-28726.277907544627,-28726.277907544627,1.9401719550396076e-07
11,5,individual,full,20,4,-28710.822588693456,-28710.822588693456,0.9999998059781838
12,5,individual,full,20,3,-28739.140899775655,-28739.140899775655,5.02937103073474e-13
13,5,individual,full,20,2,-28777.005969522277,-28777.005969522277,1.8068530288875789e-29
14,5,individual,full,20,1,-29352.216209070986,-29352.216209070986,2.794408269413807e-279
