meanscore,sumscore,covariance_type,n_components
6.092336276877513,121.84672553755028,full,25
6.1964225029533875,123.92845005906773,full,24
6.223500623750346,124.47001247500693,full,23
6.235758032115719,124.71516064231436,full,22
6.163203773848666,123.26407547697335,full,21
6.265521093117586,125.31042186235172,full,20
6.35950495367901,127.19009907358017,full,19
6.343222891455734,126.86445782911468,full,18
6.520204948936967,130.40409897873934,full,17
6.478922432036124,129.57844864072246,full,16
6.285071957428173,125.70143914856345,full,15
6.237368032731683,124.74736065463367,full,14
6.064533031823183,121.29066063646367,full,13
6.025220219574969,120.50440439149935,full,12
5.746630726131939,114.93261452263879,full,11
5.637751645328539,112.75503290657078,full,10
5.430054779637132,108.60109559274261,full,9
5.215880757918429,104.3176151583686,full,8
4.821968965742184,96.43937931484368,full,7
3.850547701350762,77.01095402701525,full,6
3.059487608884779,61.189752177695574,full,5
2.3454939138683697,46.9098782773674,full,4
0.06029768483687037,1.2059536967374074,full,3
-2.809905841764236,-56.19811683528472,full,2
-14.291583477778847,-285.8316695555769,full,1
