paramid,PIndPriCnt,covmode,covtyp,kmnsinit,nK,selscores,ensscores,ensweights
0,5,individual,full,20,22,10909.440740148773,10909.440740148773,8.892020083201637e-272
1,5,individual,full,20,21,10920.565057439173,10920.565057439173,6.028788509953951e-267
2,5,individual,full,20,20,11044.207387807013,11044.207387807013,3.0020080845440105e-213
3,5,individual,full,20,19,11246.025089157558,11246.025089157558,1.335752219314646e-125
4,5,individual,full,20,18,11345.466908634706,11345.466908634706,2.0547518198648594e-82
5,5,individual,full,20,17,11533.558731188485,11533.558731188485,1.0
6,5,individual,full,20,16,10926.651721457876,10926.651721457876,2.652373288628404e-264
7,5,individual,full,20,15,10719.39150982655,10719.39150982655,0.0
8,5,individual,full,20,14,11089.125860758853,11089.125860758853,9.666222685849766e-194
9,5,individual,full,20,13,10226.752206090687,10226.752206090687,0.0
10,5,individual,full,20,12,9521.313364361407,9521.313364361407,0.0
11,5,individual,full,20,11,9152.654888658177,9152.654888658177,0.0
12,5,individual,full,20,10,9548.767209227653,9548.767209227653,0.0
13,5,individual,full,20,9,7245.344392139239,7245.344392139239,0.0
14,5,individual,full,20,8,8449.719955944842,8449.719955944842,0.0
15,5,individual,full,20,7,7417.748154380963,7417.748154380963,0.0
16,5,individual,full,20,6,6741.680994059334,6741.680994059334,0.0
17,5,individual,full,20,5,4714.0699968904655,4714.0699968904655,0.0
18,5,individual,full,20,4,1865.5983166480337,1865.5983166480337,0.0
19,5,individual,full,20,3,-7184.535294040885,-7184.535294040885,0.0
20,5,individual,full,20,2,-18231.402290332837,-18231.402290332837,0.0
21,5,individual,full,20,1,-53240.164471338256,-53240.164471338256,0.0
